country,year,suicides_no,population,gdp_per_capita
Albania,2000,54,2796300,1299
Antigua and Barbuda,2000,2,75326,11021
Argentina,2000,2774,33585533,8456
Armenia,2000,61,3606500,530
Aruba,2000,10,83888,22333
Australia,2000,2391,17874410,23218
Austria,2000,1588,7592073,25948
Azerbaijan,2000,62,7415250,711
Bahamas,2000,11,269738,29942
Bahrain,2000,29,590594,15345
Barbados,2000,10,251133,12430
Belarus,2000,3483,9543479,1335
Belgium,2000,2143,9674025,24602
Belize,2000,18,210109,3960
Brazil,2000,6763,157715991,4153
Bulgaria,2000,1383,7829095,1680
Canada,2000,3606,29008565,25579
Chile,2000,1473,13943575,5584
Colombia,2000,2358,36252342,2755
Costa Rica,2000,239,3531421,4233
Croatia,2000,926,4118000,5288
Cuba,2000,1845,10397209,2940
Cyprus,2000,7,875229,11635
Czech Republic,2000,1649,9819742,6278
Denmark,2000,728,4998610,32809
Ecuador,2000,534,11109383,1650
El Salvador,2000,461,5118189,2303
Estonia,2000,377,1334175,4262
Finland,2000,1165,4881820,25810
France,2000,10849,55267624,24608
Georgia,2000,130,4165600,734
Germany,2000,11073,78242066,24923
Greece,2000,382,10403059,12496
Guatemala,2000,182,9755585,1977
Hungary,2000,3269,9527034,4966
Iceland,2000,50,259723,34372
Ireland,2000,463,3523376,28340
Israel,2000,394,5643291,23391
Italy,2000,4108,54298946,20995
Jamaica,2000,3,2367841,3795
Japan,2000,29989,119752660,40834
Kazakhstan,2000,4428,13772422,1328
Kiribati,2000,0,72440,928
Kuwait,2000,34,1973153,19112
Kyrgyzstan,2000,510,4369202,313
Latvia,2000,770,2272107,3494
Lithuania,2000,1631,3315125,3481
Luxembourg,2000,62,410164,51841
Maldives,2000,0,247387,2524
Malta,2000,23,362676,11873
Mauritius,2000,137,1056073,4339
Mexico,2000,3456,89694793,7893
Montenegro,2000,0,578668,1701
Netherlands,2000,1501,14933235,27656
New Zealand,2000,458,3573690,14725
Norway,2000,541,4168315,41024
Panama,2000,143,2688510,4577
Paraguay,2000,154,4598158,1782
Philippines,2000,1403,67243482,1205
Poland,2000,5841,36233344,4747
Portugal,2000,524,9740085,12115
Puerto Rico,2000,305,3511947,17569
Republic of Korea,2000,6444,44271743,12694
Romania,2000,2836,21290400,1758
Russian Federation,2000,56619,138205695,1881
Saint Lucia,2000,14,141100,5557
Saint Vincent and Grenadines,2000,5,96956,4087
San Marino,2000,1,25369,43435
Serbia,2000,1543,7149140,915
Singapore,2000,309,3047600,31446
Slovakia,2000,729,5111813,5696
Slovenia,2000,588,1886483,10783
South Africa,2000,267,40568559,3352
Spain,2000,3394,38319996,15527
Sri Lanka,2000,5252,17140342,953
Suriname,2000,52,419001,2129
Sweden,2000,1131,8409008,30919
Switzerland,2000,1380,6809589,39944
Thailand,2000,5182,58262135,2163
Trinidad and Tobago,2000,166,1178363,6920
Turkmenistan,2000,383,4026478,721
Ukraine,2000,14467,47125400,663
United Kingdom,2000,4290,56133909,29394
United States,2000,29343,262246108,39276
Uruguay,2000,555,3050169,7483
Uzbekistan,2000,1919,21789067,632
